,name,Gender,Eye color,Race,Hair color,Height,Publisher,Skin color,Alignment,Weight
45,Arsenal,Male,-,Human,-,0.0,DC Comics,,good,0.0
46,Astro Boy,Male,Brown,-,Black,0.0,,,good,0.0
47,Atlas,Male,Brown,Mutant,Red,183.0,Marvel Comics,,good,101.0
48,Atlas,Male,Blue,God / Eternal,Brown,198.0,DC Comics,,bad,126.0
49,Atom,Male,Blue,-,Red,178.0,DC Comics,,good,68.0
50,Atom,Male,-,-,-,0.0,DC Comics,,good,0.0
51,Atom Girl,Female,Black,-,Black,168.0,DC Comics,,good,54.0
52,Atom II,Male,Brown,Human,Auburn,183.0,DC Comics,,good,81.0
53,Atom III,Male,-,-,Red,0.0,DC Comics,,good,0.0
54,Atom IV,Male,Brown,-,Black,0.0,DC Comics,,good,72.0
55,Aurora,Female,Blue,Mutant,Black,180.0,Marvel Comics,,good,63.0
56,Azazel,Male,Yellow,Neyaphem,Black,183.0,Marvel Comics,Red,bad,67.0
57,Azrael,Male,Brown,Human,Black,0.0,DC Comics,,good,0.0
58,Aztar,Male,-,-,-,0.0,DC Comics,,good,0.0
59,Bane,Male,-,Human,-,203.0,DC Comics,,bad,180.0
60,Banshee,Male,Green,Human,Strawberry Blond,183.0,Marvel Comics,,good,77.0
61,Bantam,Male,Brown,-,Black,165.0,Marvel Comics,,good,54.0
62,Batgirl,Female,-,-,-,0.0,DC Comics,,good,0.0
63,Batgirl,Female,Green,Human,Red,170.0,DC Comics,,good,57.0
64,Batgirl III,Female,-,-,-,0.0,DC Comics,,good,0.0
65,Batgirl IV,Female,Green,Human,Black,165.0,DC Comics,,good,52.0
66,Batgirl V,Female,-,-,-,0.0,DC Comics,,good,0.0
67,Batgirl VI,Female,Blue,-,Blond,168.0,DC Comics,,good,61.0
68,Batman,Male,blue,Human,black,188.0,DC Comics,,good,95.0
69,Batman,Male,Blue,Human,Black,178.0,DC Comics,,good,77.0
70,Batman II,Male,Blue,Human,Black,178.0,DC Comics,,good,79.0
71,Battlestar,Male,Brown,-,Black,198.0,Marvel Comics,,good,133.0
72,Batwoman V,Female,Green,Human,Red,178.0,DC Comics,,good,0.0
73,Beak,Male,Black,-,White,175.0,Marvel Comics,,good,63.0
74,Beast,Male,Blue,Mutant,Blue,180.0,Marvel Comics,Blue,good,181.0
75,Beast Boy,Male,Green,Human,Green,173.0,DC Comics,Green,good,68.0
76,Beetle,Male,-,-,-,0.0,Marvel Comics,,bad,0.0
77,Ben 10,Male,-,-,-,0.0,DC Comics,,good,0.0
78,Beta Ray Bill,Male,-,-,No Hair,201.0,Marvel Comics,,good,216.0
79,Beyonder,Male,-,God / Eternal,-,0.0,Marvel Comics,,good,0.0
80,Big Barda,Female,Blue,New God,Black,188.0,DC Comics,,bad,135.0
81,Big Daddy,Male,-,-,-,0.0,Icon Comics,,good,0.0
82,Big Man,Male,Blue,-,Brown,165.0,Marvel Comics,,bad,71.0
83,Bill Harken,Male,-,Alpha,-,0.0,SyFy,,good,0.0
84,Billy Kincaid,Male,-,-,-,0.0,Image Comics,,bad,0.0
85,Binary,Female,Blue,-,Blond,180.0,Marvel Comics,,good,54.0
86,Bionic Woman,Female,Blue,Cyborg,Black,0.0,,,good,0.0
87,Bird-Brain,-,-,-,-,0.0,Marvel Comics,,good,0.0
88,Bird-Man,Male,-,Human,-,0.0,Marvel Comics,,bad,0.0
89,Bird-Man II,Male,-,Human,-,0.0,Marvel Comics,,bad,0.0
90,Birdman,Male,-,God / Eternal,-,0.0,Hanna-Barbera,,good,0.0
91,Bishop,Male,Brown,Mutant,No Hair,198.0,Marvel Comics,,good,124.0
92,Bizarro,Male,Black,Bizarro,Black,191.0,DC Comics,White,neutral,155.0
93,Black Abbott,Male,Red,-,Black,0.0,Marvel Comics,,bad,0.0
94,Black Adam,Male,Brown,-,Black,191.0,DC Comics,,bad,113.0
95,Black Bolt,Male,Blue,Inhuman,Black,188.0,Marvel Comics,,good,95.0
96,Black Canary,Female,Blue,Human,Blond,165.0,DC Comics,,good,58.0
97,Black Canary,Female,Blue,Metahuman,Blond,170.0,DC Comics,,good,59.0
98,Black Cat,Female,Green,Human,Blond,178.0,Marvel Comics,,good,54.0
99,Black Flash,Male,-,God / Eternal,-,0.0,DC Comics,,neutral,0.0
100,Black Goliath,Male,-,-,-,0.0,Marvel Comics,,good,0.0
101,Black Knight III,Male,Brown,Human,Brown,183.0,Marvel Comics,,good,86.0
102,Black Lightning,Male,Brown,-,No Hair,185.0,DC Comics,,good,90.0
103,Black Mamba,Female,Green,-,Black,170.0,Marvel Comics,,bad,52.0
104,Black Manta,Male,Black,Human,No Hair,188.0,DC Comics,,bad,92.0
105,Black Panther,Male,Brown,Human,Black,183.0,Marvel Comics,,good,90.0
106,Black Widow,Female,Green,Human,Auburn,170.0,Marvel Comics,,good,59.0
107,Black Widow II,Female,Blue,-,Blond,170.0,Marvel Comics,,good,61.0
108,Blackout,Male,Red,Demon,White,191.0,Marvel Comics,White,bad,104.0
109,Blackwing,Male,Blue,-,Black,185.0,Marvel Comics,,bad,86.0
110,Blackwulf,Male,Red,Alien,White,188.0,Marvel Comics,,-,88.0
111,Blade,Male,Brown,Vampire,Black,188.0,Marvel Comics,,good,97.0
112,Blaquesmith,-,Black,-,No Hair,0.0,Marvel Comics,,good,0.0
113,Bling!,Female,-,-,-,168.0,Marvel Comics,,good,68.0
114,Blink,Female,Green,Mutant,Magenta,165.0,Marvel Comics,Pink,good,56.0
115,Blizzard,Male,-,-,-,0.0,Marvel Comics,,bad,0.0
116,Blizzard,Male,-,-,Brown,0.0,Marvel Comics,,bad,0.0
117,Blizzard II,Male,Brown,-,Brown,175.0,Marvel Comics,,bad,77.0
118,Blob,Male,Brown,-,Brown,178.0,Marvel Comics,,bad,230.0
119,Bloodaxe,Female,Blue,Human,Brown,218.0,Marvel Comics,,bad,495.0
120,Bloodhawk,Male,Black,Mutant,No Hair,0.0,Marvel Comics,,good,0.0
121,Bloodwraith,Male,White,-,No Hair,30.5,Marvel Comics,,bad,0.0
122,Blue Beetle,Male,Blue,-,Brown,0.0,DC Comics,,good,0.0
123,Blue Beetle,Male,-,-,-,0.0,DC Comics,,good,0.0
124,Blue Beetle II,Male,Blue,-,Brown,183.0,DC Comics,,good,86.0
125,Blue Beetle III,Male,Brown,Human,Black,0.0,DC Comics,,good,0.0
126,Boba Fett,Male,Brown,Human / Clone,Black,183.0,George Lucas,,bad,0.0
127,Bolt,Male,-,-,-,0.0,Marvel Comics,,good,0.0
128,Bomb Queen,Female,-,-,-,0.0,Image Comics,,bad,0.0
129,Boom-Boom,Female,Blue,Mutant,Blond,165.0,Marvel Comics,,good,55.0
130,Boomer,Female,-,-,-,0.0,Marvel Comics,,good,0.0
131,Booster Gold,Male,Blue,Human,Blond,196.0,DC Comics,,good,97.0
132,Box,Male,-,-,-,0.0,Marvel Comics,,good,0.0
133,Box III,-,Blue,-,Blond,193.0,Marvel Comics,,good,110.0
134,Box IV,-,Brown,-,Brown / Black,0.0,Marvel Comics,,good,0.0
135,Brainiac,Male,Green,Android,No Hair,198.0,DC Comics,Green,bad,135.0
136,Brainiac 5,Male,Green,-,Blond,170.0,DC Comics,,good,61.0
137,Brother Voodoo,Male,Brown,Human,Brown / White,183.0,Marvel Comics,,good,99.0
138,Brundlefly,Male,-,Mutant,-,193.0,,,-,0.0
139,Buffy,Female,Green,Human,Blond,157.0,Dark Horse Comics,,good,52.0
140,Bullseye,Male,blue,Human,blond,183.0,Marvel Comics,,bad,90.0
141,Bumblebee,Female,Brown,Human,Black,170.0,DC Comics,,good,59.0
142,Bumbleboy,Male,-,-,-,0.0,Marvel Comics,,good,0.0
143,Bushido,Male,-,Human,-,0.0,DC Comics,,good,0.0
144,Cable,Male,Blue,Mutant,White,203.0,Marvel Comics,,good,158.0
145,Callisto,Female,Blue,-,Black,175.0,Marvel Comics,,bad,74.0
146,Cameron Hicks,Male,-,Alpha,-,0.0,SyFy,,good,0.0
147,Cannonball,Male,Blue,-,Blond,183.0,Marvel Comics,,good,81.0
148,Captain America,Male,blue,Human,blond,188.0,Marvel Comics,,good,108.0
149,Captain Atom,Male,Blue,Human / Radiation,Silver,193.0,DC Comics,Silver,good,90.0
150,Captain Britain,Male,Blue,Human,Blond,198.0,Marvel Comics,,good,116.0
151,Captain Cold,Male,Brown,Human,Brown,0.0,DC Comics,,neutral,0.0
152,Captain Epic,Male,Blue,-,Brown,188.0,Team Epic TV,,good,0.0
153,Captain Hindsight,Male,-,Human,Black,0.0,South Park,,good,0.0
154,Captain Mar-vell,Male,Blue,-,Blond,188.0,Marvel Comics,,good,108.0
155,Captain Marvel,Female,Blue,Human-Kree,Blond,180.0,Marvel Comics,,good,74.0
156,Captain Marvel,Male,Blue,Human,Black,193.0,DC Comics,,good,101.0
157,Captain Marvel II,Male,Blue,Human,Black,175.0,DC Comics,,good,74.0
158,Captain Midnight,Male,-,Human,-,0.0,Dark Horse Comics,,good,0.0
159,Captain Planet,Male,Red,God / Eternal,Green,0.0,Marvel Comics,,good,0.0
160,Captain Universe,-,-,God / Eternal,-,0.0,Marvel Comics,,good,0.0
161,Carnage,Male,Green,Symbiote,Red,185.0,Marvel Comics,,bad,86.0
162,Cat,Female,Blue,-,Blond,173.0,Marvel Comics,,good,61.0
163,Cat II,Female,-,-,-,0.0,Marvel Comics,,good,0.0
164,Catwoman,Female,Green,Human,Black,175.0,DC Comics,,good,61.0
165,Cecilia Reyes,-,Brown,-,Brown,170.0,Marvel Comics,,good,62.0
166,Century,Male,White,Alien,White,201.0,Marvel Comics,Grey,good,97.0
167,Cerebra,Female,-,Mutant,-,0.0,Marvel Comics,,good,0.0
168,Chamber,Male,Brown,Mutant,Brown,175.0,Marvel Comics,,good,63.0
169,Chameleon,Male,-,-,-,0.0,DC Comics,,bad,0.0
170,Changeling,Male,Brown,-,Black,180.0,Marvel Comics,,bad,81.0
171,Cheetah,Female,Green,Human,Blond,163.0,DC Comics,,bad,50.0
172,Cheetah II,Female,Green,Human,Brown,170.0,DC Comics,,bad,55.0
173,Cheetah III,Female,Brown,Human,Brown,175.0,DC Comics,,bad,54.0
174,Chromos,Male,Brown,-,Red / Grey,185.0,Team Epic TV,,bad,86.0
175,Chuck Norris,Male,-,-,-,178.0,,,good,0.0
176,Citizen Steel,Male,Green,Human,Red,183.0,DC Comics,,good,170.0
177,Claire Bennet,Female,Blue,-,Blond,0.0,NBC - Heroes,,good,0.0
178,Clea,-,-,-,White,0.0,Marvel Comics,,good,0.0
179,Cloak,Male,brown,-,black,226.0,Marvel Comics,,good,70.0
180,Clock King,Male,Blue,Human,Black,178.0,DC Comics,,bad,78.0
181,Cogliostro,Male,-,-,-,0.0,Image Comics,,bad,0.0
182,Colin Wagner,Male,Grey,-,Brown,0.0,HarperCollins,,good,0.0
183,Colossal Boy,Male,-,-,-,0.0,DC Comics,,good,0.0
184,Colossus,Male,Silver,Mutant,Black,226.0,Marvel Comics,,good,225.0
185,Copycat,Female,Red,Mutant,White,183.0,Marvel Comics,Blue,neutral,67.0
186,Corsair,Male,Brown,-,Brown,191.0,Marvel Comics,,good,79.0
187,Cottonmouth,Male,Brown,Human,Black,183.0,Marvel Comics,,bad,99.0
188,Crimson Crusader,Male,Blue,-,Strawberry Blond,0.0,Marvel Comics,,good,0.0
189,Crimson Dynamo,Male,Brown,-,No Hair,180.0,Marvel Comics,,good,104.0
190,Crystal,Female,Green,Inhuman,Red,168.0,Marvel Comics,,good,50.0
191,Curse,Male,-,-,-,0.0,Image Comics,,bad,0.0
192,Cy-Gor,Male,-,-,-,0.0,Image Comics,,bad,0.0
193,Cyborg,Male,Brown,Cyborg,Black,198.0,DC Comics,,good,173.0
194,Cyborg Superman,Male,Blue,Cyborg,Black,0.0,DC Comics,,bad,0.0
195,Cyclops,Male,Brown,Mutant,Brown,191.0,Marvel Comics,,good,88.0
196,Cypher,-,Blue,-,Blond,175.0,Marvel Comics,,good,68.0
197,Dagger,Female,Blue,-,Blond,165.0,Marvel Comics,,good,52.0
198,Danny Cooper,Male,Brown,-,Blond,0.0,HarperCollins,,good,0.0
199,Daphne Powell,Female,-,-,-,0.0,ABC Studios,,good,0.0
200,Daredevil,Male,Blue,Human,Red,183.0,Marvel Comics,,good,90.0
201,Darkhawk,Male,Brown,Human,Brown,185.0,Marvel Comics,,good,81.0
202,Darkman,Male,-,-,-,0.0,Universal Studios,,good,0.0
203,Darkseid,Male,Red,New God,No Hair,267.0,DC Comics,Grey,bad,817.0
204,Darkside,-,-,-,-,0.0,,,bad,0.0
205,Darkstar,Female,Brown,Mutant,Blond,168.0,Marvel Comics,,good,56.0
206,Darth Maul,Male,Yellow / Red,Dathomirian Zabrak,-,170.0,George Lucas,Red / Black,bad,0.0
207,Darth Vader,Male,Yellow,Cyborg,No Hair,198.0,George Lucas,,bad,135.0
208,Dash,Male,Blue,Human,Blond,122.0,Dark Horse Comics,,good,27.0
209,Data,Male,Yellow,Android,Brown,0.0,Star Trek,,good,0.0
210,Dazzler,Female,Blue,Mutant,Blond,173.0,Marvel Comics,,good,52.0
211,Deadman,Male,Blue,Human,Black,183.0,DC Comics,,good,90.0
212,Deadpool,Male,Brown,Mutant,No Hair,188.0,Marvel Comics,,neutral,95.0
213,Deadshot,Male,Brown,Human,Brown,185.0,DC Comics,,bad,91.0
214,Deathlok,Male,Brown,Cyborg,Grey,193.0,Marvel Comics,,good,178.0
215,Deathstroke,Male,Blue,Human,White,193.0,DC Comics,,neutral,101.0
216,Demogoblin,Male,Red,Demon,No Hair,185.0,Marvel Comics,,bad,95.0
217,Destroyer,Male,-,-,-,188.0,Marvel Comics,,bad,383.0
218,Diamondback,Male,Brown,Human,Black,193.0,Marvel Comics,,bad,90.0
219,DL Hawkins,Male,-,-,-,0.0,NBC - Heroes,,good,0.0
220,Doc Samson,Male,Blue,Human / Radiation,Green,198.0,Marvel Comics,,good,171.0
221,Doctor Doom,Male,Brown,Human,Brown,201.0,Marvel Comics,,bad,187.0
222,Doctor Doom II,Male,Brown,-,Brown,201.0,Marvel Comics,,bad,132.0
223,Doctor Fate,Male,Blue,Human,Blond,188.0,DC Comics,,good,89.0
224,Doctor Octopus,Male,Brown,Human,Brown,175.0,Marvel Comics,,bad,110.0
225,Doctor Strange,Male,Grey,Human,Black,188.0,Marvel Comics,,good,81.0
226,Domino,Female,Blue,Human,Black,173.0,Marvel Comics,White,good,54.0
227,Donatello,Male,Green,Mutant,No Hair,0.0,IDW Publishing,Green,good,0.0
228,Donna Troy,Female,Blue,Amazon,Black,175.0,DC Comics,,good,63.0
229,Doomsday,Male,Red,Alien,White,244.0,DC Comics,,bad,412.0
230,Doppelganger,Male,White,-,No Hair,196.0,Marvel Comics,,bad,104.0
231,Dormammu,Male,Yellow,-,No Hair,185.0,Marvel Comics,,bad,0.0
232,Dr Manhattan,Male,White,Human / Cosmic,No Hair,0.0,DC Comics,Blue,good,0.0
233,Drax the Destroyer,Male,Red,Human / Altered,No Hair,193.0,Marvel Comics,Green,good,306.0
234,Ego,-,-,-,-,0.0,Marvel Comics,,bad,0.0
235,Elastigirl,Female,Brown,Human,Brown,168.0,Dark Horse Comics,,good,56.0
236,Electro,Male,Blue,Human,Auburn,180.0,Marvel Comics,,bad,74.0
237,Elektra,Female,Blue,Human,Black,175.0,Marvel Comics,,good,59.0
238,Elle Bishop,Female,Blue,-,Blond,0.0,NBC - Heroes,,bad,0.0
239,Elongated Man,Male,Blue,-,Red,185.0,DC Comics,,good,80.0
240,Emma Frost,Female,Blue,-,Blond,178.0,Marvel Comics,,good,65.0
241,Enchantress,Female,Blue,Human,Blond,168.0,DC Comics,,good,57.0
242,Energy,Female,-,-,-,0.0,HarperCollins,,good,0.0
243,ERG-1,Male,-,-,-,0.0,DC Comics,,good,0.0
244,Ethan Hunt,Male,Brown,Human,Brown,168.0,,,good,0.0
245,Etrigan,Male,Red,Demon,No Hair,193.0,DC Comics,Yellow,neutral,203.0
246,Evil Deadpool,Male,White,Mutant,Red,188.0,Marvel Comics,,bad,95.0
247,Evilhawk,Male,Red,Alien,Black,191.0,Marvel Comics,Green,bad,106.0
248,Exodus,Male,Blue,Mutant,Black,183.0,Marvel Comics,Red,bad,88.0
249,Fabian Cortez,-,Blue,-,Brown,196.0,Marvel Comics,,bad,96.0
250,Falcon,Male,Brown,Human,Black,188.0,Marvel Comics,,good,108.0
251,Fallen One II,Male,Black,-,Blue,0.0,Marvel Comics,,bad,0.0
252,Faora,Female,-,Kryptonian,-,0.0,DC Comics,,bad,0.0
253,Feral,-,Yellow (without irises),-,Orange / White,175.0,Marvel Comics,,good,50.0
254,Fighting Spirit,Female,-,-,Red,0.0,DC Comics,,good,0.0
255,Fin Fang Foom,Male,Red,Kakarantharaian,No Hair,975.0,Marvel Comics,Green,good,18.0
256,Firebird,Female,Brown,-,Black,165.0,Marvel Comics,,good,56.0
257,Firelord,-,White,-,Yellow,193.0,Marvel Comics,,good,99.0
258,Firestar,Female,Green,Mutant,Red,173.0,Marvel Comics,,good,56.0
259,Firestorm,Male,Brown,-,Black,0.0,DC Comics,,good,0.0
260,Firestorm,Male,Blue,Human,Auburn,188.0,DC Comics,,good,91.0
261,Fixer,-,Red,-,No Hair,0.0,Marvel Comics,,bad,0.0
262,Flash,Male,Blue,Human,Brown / White,180.0,DC Comics,,good,81.0
263,Flash Gordon,Male,-,-,-,0.0,,,good,0.0
264,Flash II,Male,Blue,Human,Blond,183.0,DC Comics,,good,88.0
265,Flash III,Male,-,Human,-,183.0,DC Comics,,good,86.0
266,Flash IV,Male,Yellow,Human,Auburn,157.0,DC Comics,,good,52.0
267,Forge,-,Brown,-,Black,183.0,Marvel Comics,,good,81.0
268,Franklin Richards,Male,Blue,Mutant,Blond,142.0,Marvel Comics,,good,45.0
269,Franklin Storm,-,Blue,-,Grey,188.0,Marvel Comics,,good,92.0
270,Frenzy,Female,Brown,-,Black,211.0,Marvel Comics,,bad,104.0
271,Frigga,Female,Blue,-,White,180.0,Marvel Comics,,good,167.0
272,Galactus,Male,Black,Cosmic Entity,Black,876.0,Marvel Comics,,neutral,16.0
273,Gambit,Male,Red,Mutant,Brown,185.0,Marvel Comics,,good,81.0
274,Gamora,Female,Yellow,Zen-Whoberian,Black,183.0,Marvel Comics,Green,good,77.0
275,Garbage Man,Male,-,Mutant,-,0.0,DC Comics,,good,0.0
276,Gary Bell,Male,-,Alpha,-,0.0,SyFy,,good,0.0
277,General Zod,Male,Black,Kryptonian,Black,0.0,DC Comics,,bad,0.0
278,Genesis,Male,Blue,-,Blond,185.0,Marvel Comics,,good,86.0
279,Ghost Rider,Male,Red,Demon,No Hair,188.0,Marvel Comics,,good,99.0
280,Ghost Rider II,-,-,-,-,0.0,Marvel Comics,,good,0.0
281,Giant-Man,Male,-,Human,-,0.0,Marvel Comics,,good,0.0
282,Giant-Man II,Male,-,-,-,0.0,Marvel Comics,,good,0.0
283,Giganta,Female,Green,-,Red,62.5,DC Comics,,bad,630.0
284,Gladiator,Male,Blue,Strontian,Blue,198.0,Marvel Comics,Purple,neutral,268.0
285,Goblin Queen,Female,Green,-,Red,168.0,Marvel Comics,,bad,50.0
286,Godzilla,-,-,Kaiju,-,108.0,,Grey,bad,
287,Gog,Male,-,-,-,0.0,DC Comics,,bad,0.0
288,Goku,Male,-,Saiyan,-,175.0,Shueisha,,good,62.0
289,Goliath,Male,-,-,-,0.0,Marvel Comics,,good,0.0
290,Goliath,Male,-,Human,-,0.0,Marvel Comics,,good,0.0
291,Goliath,Male,-,Human,-,0.0,Marvel Comics,,good,0.0
292,Goliath IV,Male,Brown,-,Black,183.0,Marvel Comics,,good,90.0
293,Gorilla Grodd,Male,Yellow,Gorilla,Black,198.0,DC Comics,,bad,270.0
294,Granny Goodness,Female,Blue,-,White,178.0,DC Comics,,bad,115.0
295,Gravity,Male,Blue,Human,Brown,178.0,Marvel Comics,,good,79.0
296,Greedo,Male,Purple,Rodian,-,170.0,George Lucas,Green,bad,0.0
297,Green Arrow,Male,Green,Human,Blond,188.0,DC Comics,,good,88.0
298,Green Goblin,Male,Blue,Human,Auburn,180.0,Marvel Comics,,bad,83.0
299,Green Goblin II,Male,Blue,-,Auburn,178.0,Marvel Comics,,bad,77.0
300,Green Goblin III,Male,-,-,-,183.0,Marvel Comics,,good,88.0
301,Green Goblin IV,Male,Green,-,Brown,178.0,Marvel Comics,,good,79.0
302,Groot,Male,Yellow,Flora Colossus,-,701.0,Marvel Comics,,good,4.0
303,Guardian,Male,Brown,Human,Black,0.0,Marvel Comics,,good,0.0
304,Guy Gardner,Male,Blue,Human-Vuldarian,Red,188.0,DC Comics,,good,95.0
305,Hal Jordan,Male,Brown,Human,Brown,188.0,DC Comics,,good,90.0
306,Han Solo,Male,Brown,Human,Brown,183.0,George Lucas,,good,79.0
307,Hancock,Male,Brown,Human,Black,188.0,Sony Pictures,,good,0.0
308,Harley Quinn,Female,Blue,Human,Blond,170.0,DC Comics,,bad,63.0
309,Harry Potter,Male,Green,Human,Black,0.0,J. K. Rowling,,good,0.0
310,Havok,Male,Blue,Mutant,Blond,183.0,Marvel Comics,,good,79.0
311,Hawk,Male,Red,-,Brown,185.0,DC Comics,,good,89.0
312,Hawkeye,Male,Blue,Human,Blond,191.0,Marvel Comics,,good,104.0
313,Hawkeye II,Female,Blue,Human,Black,165.0,Marvel Comics,,good,57.0
314,Hawkgirl,Female,Green,-,Red,175.0,DC Comics,,good,61.0
315,Hawkman,Male,Blue,-,Brown,185.0,DC Comics,,good,88.0
316,Hawkwoman,Female,Green,-,Red,175.0,DC Comics,,good,54.0
317,Hawkwoman II,Female,-,-,-,0.0,DC Comics,,good,0.0
318,Hawkwoman III,Female,Blue,-,Red,170.0,DC Comics,,good,65.0
319,Heat Wave,Male,Blue,Human,No Hair,180.0,DC Comics,,bad,81.0
320,Hela,Female,Green,Asgardian,Black,213.0,Marvel Comics,,bad,225.0
321,Hellboy,Male,Gold,Demon,Black,259.0,Dark Horse Comics,,good,158.0
322,Hellcat,Female,Blue,Human,Red,173.0,Marvel Comics,,good,61.0
323,Hellstorm,Male,Red,-,Red,185.0,Marvel Comics,,good,81.0
324,Hercules,Male,Blue,Demi-God,Brown,196.0,Marvel Comics,,good,146.0
325,Hiro Nakamura,Male,-,-,-,0.0,NBC - Heroes,,good,0.0
326,Hit-Girl,Female,-,Human,-,0.0,Icon Comics,,good,0.0
327,Hobgoblin,Male,Blue,-,Grey,180.0,Marvel Comics,,bad,83.0
328,Hollow,Female,Blue,-,Red,170.0,Marvel Comics,,good,0.0
329,Hope Summers,Female,Green,-,Red,168.0,Marvel Comics,,good,48.0
330,Howard the Duck,Male,Brown,-,Yellow,79.0,Marvel Comics,,good,18.0
331,Hulk,Male,Green,Human / Radiation,Green,244.0,Marvel Comics,Green,good,630.0
332,Human Torch,Male,Blue,Human / Radiation,Blond,178.0,Marvel Comics,,good,77.0
333,Huntress,Female,Blue,-,Black,180.0,DC Comics,,good,59.0
334,Husk,Female,Blue,Mutant,Blond,170.0,Marvel Comics,,good,58.0
335,Hybrid,Male,Brown,Symbiote,Black,175.0,Marvel Comics,,good,77.0
336,Hydro-Man,Male,Brown,-,Brown,188.0,Marvel Comics,,bad,119.0
337,Hyperion,Male,Blue,Eternal,Red,183.0,Marvel Comics,,good,207.0
338,Iceman,Male,Brown,Mutant,Brown,173.0,Marvel Comics,,good,65.0
339,Impulse,Male,Yellow,Human,Auburn,170.0,DC Comics,,good,65.0
340,Indiana Jones,Male,-,Human,-,183.0,George Lucas,,good,79.0
341,Indigo,Female,-,Alien,Purple,0.0,DC Comics,,neutral,0.0
342,Ink,Male,Blue,Mutant,No Hair,180.0,Marvel Comics,,good,81.0
343,Invisible Woman,Female,blue,Human / Radiation,Blond,168.0,Marvel Comics,,good,54.0
344,Iron Fist,Male,Blue,Human,Blond,180.0,Marvel Comics,,good,79.0
345,Iron Man,Male,Blue,Human,Black,198.0,Marvel Comics,,good,191.0
